IDX,name,ID,precursorMZ,collisionType,collisionEnergy,productIon,meanMZ,meanIntensity,RSDIntensity,relMeanIntensity,RSDRelMeanIntensity,relIntensity,sdRelIntensity
1,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,CID,0,C22H22N6O4,435.1771616,1790565.445,77.16498184,0.435200158,0.771649818,1,0.335822123
2,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1771851,CID,10,C22H22N6O4,435.1772018,1653168.846,86.88732009,0.391435667,0.868873201,1,0.340107961
3,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,CID,20,C17H14N6O,319.1300352,1433869.438,25.46732964,0.619404856,0.254673296,1,0.157745877
4,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,CID,20,C22H22N6O4,435.1771924,1046072.364,75.85555937,0.451883752,0.758555594,0.729545059,0.342778948
5,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,CID,30,C17H14N6O,319.1299674,1800218.217,77.85566103,0.438589496,0.77855661,1,0.341466751
6,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,CID,40,C17H14N6O,319.1299701,1858042.276,81.89119441,0.450686028,0.818911944,1,0.369072172
7,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1771851,CID,50,C17H14N6O,319.129956,1729324.449,62.20738235,0.509844942,0.622073824,1,0.317161192
8,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1771851,CID,50,C21H22N4O4,393.1590332,469.353607,37.05367281,0.000138376,0.370536728,0.000271409,5.13E-05
9,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,0,C17H14N6O,319.1299599,244316.2026,47.86101449,0.043171886,0.478610145,0.095191077,0.020662503
10,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,0,C22H22N6O4,435.1772493,2566587.23,68.62904891,0.453528711,0.686290489,1,0.311252441
11,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,0,C22H25N3O4,393.1711937,1112.763479,31.49090981,0.000196631,0.314909098,0.000433558,6.19E-05
12,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,HCD,10,C17H14N6O,319.1300505,1988921.797,71.64525178,0.483282787,0.716452518,1,0.34624917
13,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,HCD,10,C22H22N6O4,435.1772954,955876.1849,53.62343311,0.232265797,0.536234331,0.480600186,0.124548894
14,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,HCD,10,C22H25N3O4,393.1711999,1221.575623,22.06177729,0.000296827,0.220617773,0.00061419,6.55E-05
15,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,HCD,20,C17H14N6O,319.1300595,2408752.153,88.61981453,0.43496267,0.886198145,1,0.385463112
16,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,30,C17H14N6O,319.1300123,2578141.534,85.00725749,0.393031069,0.850072575,1,0.334104933
17,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1771851,HCD,40,C17H13N5O,302.1036072,89967.58464,35.96132543,0.01791846,0.359613254,0.037411019,0.006443716
18,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1771851,HCD,40,C17H14N6O,319.1300046,2404841.838,72.99410843,0.478962091,0.729941084,1,0.349614108
19,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,50,C16H14N4O,277.1081999,124463.2806,27.85973783,0.033851272,0.278597378,0.061544859,0.009430876
20,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,50,C17H13N5O,302.1035248,425199.2927,45.02829047,0.115644845,0.450282905,0.21025342,0.052072897
21,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,50,C17H14N6O,319.1300201,2022318.082,63.24811645,0.550025986,0.632481165,1,0.347881076
22,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1774902,HCD,60,C13H12N2,195.0915987,171376.3021,8.189207169,0.101365625,0.081892072,0.189849028,0.008301041
23,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1774902,HCD,60,C13H13N,180.0807738,94490.60156,41.96308551,0.055889284,0.419630855,0.104675785,0.023452868
24,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1774902,HCD,60,C14H16N2,208.0992946,184646.2734,43.79210109,0.109214545,0.437921011,0.204549376,0.047827344
25,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1774902,HCD,60,C15H14N4,248.8613986,151264.9912,35.18811841,0.08947019,0.351881184,0.167569911,0.031482876
26,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1774902,HCD,60,C16H14N4O,277.1081441,185179.516,41.53016444,0.109529947,0.415301644,0.205140097,0.045487967
27,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1774902,HCD,60,C16H15N5,274.1085485,158398.6657,41.81728064,0.093689615,0.418172806,0.175472527,0.039178449
28,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1774902,HCD,60,C17H13N5O,302.1034903,563148.9889,62.26708474,0.333091264,0.622670847,0.623851064,0.207406219
29,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1774902,HCD,60,C17H14N6O,319.1300129,902697.8098,68.73045066,0.53392754,0.687304507,1,0.366970804
30,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,70,C13H12N2,195.0915527,269373.4034,47.57586946,0.448503058,0.475758695,0.757291878,0.213379229
31,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,70,C13H13N,180.0807399,184923.757,42.80525013,0.307895544,0.428052501,0.519877826,0.131795458
32,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,70,C14H15N3,220.086841,120558.9234,20.9361562,0.20072897,0.209361562,0.338928389,0.042024931
33,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,70,C14H16N2,207.9313125,330031.8313,55.59855349,0.549498517,0.555985535,0.927821464,0.305513227
34,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,70,C15H14N4,247.4336333,121024.7624,45.75885355,0.201504586,0.457588535,0.340238006,0.092206188
35,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,70,C16H14N4O,277.1081573,123067.9004,39.5415123,0.204906383,0.395415123,0.345981898,0.081023082
36,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,70,C16H15N5,274.1085435,139784.138,42.5198026,0.232738691,0.425198026,0.392976408,0.098960032
37,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,70,C17H13N5O,302.1034834,355706.1829,49.69622986,0.592245963,0.496962299,1,0.294323915
38,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,70,C17H14N6O,319.1300373,262778.649,49.07928998,0.437522881,0.4907929,0.738751986,0.214733124
39,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,70,C4H7N5O,140.0566192,42985.04453,118.7674697,0.071569515,1.187674697,0.120844243,0.085001302
40,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,80,C12H11N,168.080651,167560.7127,36.56396157,0.255723279,0.365639616,0.482546625,0.093502561
41,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,80,C13H12N2,195.0915184,346683.0815,49.44547978,0.529091414,0.494454798,0.998388872,0.261611788
42,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,80,C13H13N,180.0807156,229956.6979,49.81457771,0.350949097,0.498145777,0.662236551,0.174823811
43,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,80,C14H15N3,220.0867756,151108.3639,39.00296939,0.230614478,0.390029694,0.435166632,0.089946494
44,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,80,C14H16N2,208.0992648,347242.5338,67.58711944,0.529945224,0.675871194,1,0.358174711
45,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,80,C15H14N4,247.0976308,98893.09679,45.39370192,0.150925993,0.453937019,0.284795459,0.068510895
46,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,80,C17H13N5O,302.1034718,144572.7457,10.50850816,0.220640125,0.105085082,0.416345152,0.023185986
47,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1777649,HCD,90,C12H10,153.069789,221258.948,43.09999103,0.384802562,0.43099991,0.701852069,0.16584987
48,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1777649,HCD,90,C12H11N,168.0806333,264640.4011,42.93357366,0.460249429,0.429335737,0.839461702,0.197601528
49,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1777649,HCD,90,C13H12N2,195.091508,294695.8114,43.45347304,0.512520304,0.43453473,0.934800001,0.222707872
50,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1777649,HCD,90,C14H15N3,220.0867524,136752.4883,48.2721187,0.237833129,0.482721187,0.433790442,0.11480709
51,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1777649,HCD,90,C14H16N2,208.0992493,315250.1188,51.05665587,0.548267333,0.510566559,1,0.279926966
52,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1777649,HCD,90,C4H7N5O,140.0566031,14750.00177,69.67585601,0.02565247,0.69675856,0.046788251,0.017873578
53,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1777649,HCD,100,C12H10,153.0697514,267040.5816,54.54167378,0.450238484,0.545416738,0.886377041,0.245567605
54,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1777649,HCD,100,C12H11N,168.0806094,301271.9972,54.37706703,0.507953685,0.54377067,1,0.276210316
55,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1777649,HCD,100,C13H12N2,194.9235192,183991.6729,55.63537414,0.310215516,0.556353741,0.610716145,0.172589563
56,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1777649,HCD,100,C13H13N,180.0806731,142653.8125,61.00217523,0.240518636,0.610021752,0.473505051,0.1467216
57,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1777649,HCD,100,C14H16N2,208.0992403,202005.3828,49.5176815,0.340587175,0.495176815,0.670508327,0.168650873
58,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1777649,HCD,100,C4H7N5O,140.0565788,6096.151152,60.88039274,0.010278295,0.608803927,0.020234709,0.006257466
59,dG-C8-AaC,TUR-UMN-003.mzML,449.1680298,CID,0,C21H20N8O4,449.1677533,4120131.761,100.5268442,0.304858133,1.005268442,1,0.306464261
60,dG-C8-AaC,TUR-UMN-003.mzML,449.1680298,CID,10,C21H20N8O4,449.1677353,4619489.746,103.7474357,0.314550939,1.037474357,1,0.326338533
61,dG-C8-AaC,TUR-UMN-003.mzML,449.1680298,CID,20,C16H12N8O,333.1205598,3247432.245,44.47001235,0.376368616,0.444700124,1,0.16737117
62,dG-C8-AaC,TUR-UMN-003.mzML,449.1680298,CID,20,C21H20N8O4,449.1677534,2714990.332,102.8079941,0.314660038,1.028079941,0.83604218,0.323495673
63,dG-C8-AaC,TUR-UMN-003.mzML,449.1680298,CID,30,C16H12N8O,333.1205062,4409173.717,98.79651537,0.373411768,0.987965154,1,0.368917815
64,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,CID,40,C16H12N8O,333.1205014,4463621.392,103.562219,0.312957321,1.03562219,1,0.324105546
65,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,CID,50,C16H12N8O,333.1205177,4363415.673,96.37468107,0.361796898,0.963746811,1,0.348680607
66,dG-C8-AaC,TUR-UMN-003.mzML,449.1680298,HCD,0,C16H12N8O,333.1203918,344558.5024,57.8148154,0.022502519,0.578148154,0.064757661,0.01300979
67,dG-C8-AaC,TUR-UMN-003.mzML,449.1680298,HCD,0,C21H20N8O4,449.1677762,5320737.294,97.58280231,0.347488136,0.975828023,1,0.339088661
68,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,10,C16H12N8O,333.1205739,3484338.478,103.6163122,0.336481942,1.036163122,1,0.348650179
69,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,10,C21H20N8O4,449.1678554,2961285.244,103.6354419,0.285970785,1.036354419,0.849884494,0.296367086
70,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,20,C16H12N8O,333.1205453,6180661.46,103.0711146,0.338787305,1.030711146,1,0.349191852
71,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,20,C21H20N8O4,449.167965,198357.7744,61.37141983,0.0108728,0.613714198,0.032093292,0.006672792
72,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,30,C16H12N8O,333.1205223,5977228.806,101.4252285,0.361779444,1.014252285,1,0.366935628
73,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,40,C16H11N7O,316.0940908,294537.7005,41.47592435,0.016714134,0.414759243,0.053505217,0.006932341
74,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,40,C16H12N8O,333.1205195,5504840.733,100.9279144,0.312383249,1.009279144,1,0.315281898
75,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,50,C12H10N4,209.0820413,230616.7865,30.79880201,0.022335543,0.30798802,0.05712007,0.00687908
76,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,50,C12H11N3,194.071213,157291.9156,35.56076897,0.015233932,0.35560769,0.038958679,0.005417303
77,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,50,C14H12N6,262.8518983,118324.0425,47.10211107,0.011459841,0.471021111,0.029306963,0.005397827
78,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,50,C15H12N6O,291.0988524,250793.8258,40.40993034,0.024289717,0.404099303,0.062117598,0.009815458
79,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,50,C15H13N7,288.0992194,217141.9122,57.35739891,0.021030484,0.573573989,0.05378256,0.012062539
80,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,50,C16H11N7O,316.0940858,959662.8507,65.35833069,0.092944627,0.653583307,0.237693059,0.060747057
81,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,50,C16H12N8O,333.120531,4037403.765,101.3179854,0.391027941,1.013179854,1,0.396181632
82,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,60,C12H10N4,209.0820031,562657.6484,56.19270208,0.120922434,0.561927021,0.319608694,0.067949583
83,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,60,C12H11N3,194.0711766,524988.5321,54.63795716,0.112826852,0.546379572,0.298211354,0.061646287
84,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,60,C13H13N5,235.2111473,170189.4666,53.88620292,0.036575926,0.538862029,0.096673409,0.019709378
85,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,60,C14H11N5,246.0773214,174264.6823,56.21822013,0.037451743,0.562182201,0.098988271,0.021054703
86,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,60,C14H12N6,261.0881599,433746.2675,48.13444473,0.093217705,0.481344447,0.246382642,0.044869824
87,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,60,C15H11N5O,274.0721693,219277.1354,55.69157951,0.047125503,0.556915795,0.124556876,0.026244937
88,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,60,C15H12N6O,291.0987634,297867.1451,48.03057531,0.064015517,0.480305753,0.169198676,0.030747021
89,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,60,C15H13N7,288.0991152,517671.0316,55.64676428,0.111254226,0.556467643,0.294054765,0.061909377
90,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,60,C16H11N7O,316.0940023,1147650.296,69.88907775,0.24664495,0.698890778,0.651904428,0.172377881
91,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,60,C16H12N8O,333.120503,1760457.893,97.97526798,0.378345259,0.97975268,1,0.370684781
92,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,60,C21H19N7O2,402.169993,1198.629049,14.01688146,0.000257601,0.140168815,0.000680862,3.61E-05
93,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,70,C12H10N4,209.0819854,971621.0487,66.11571644,0.475287249,0.661157164,1,0.31423957
94,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,70,C12H11N3,194.0711495,800614.1013,72.01652361,0.391635889,0.720165236,0.823998309,0.282042553
95,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,70,C13H13N5,234.5016762,320574.425,62.60100861,0.156815187,0.626010086,0.329937711,0.098167889
96,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,70,C14H11N5,246.0772975,231136.5204,77.64443421,0.113064904,0.776444342,0.237887519,0.087788605
97,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,70,C14H12N6,261.0881134,441871.3264,63.16746954,0.216149915,0.631674695,0.454777433,0.136536432
98,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,70,C15H11N5O,274.0721437,329613.0488,46.57395244,0.161236605,0.465739524,0.339240334,0.07509426
99,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,70,C15H12N6O,291.0987304,131267.8602,46.42024543,0.064212215,0.464202454,0.135101911,0.029807468
100,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,70,C15H13N7,288.0990601,391268.8178,70.99388075,0.191396718,0.709938808,0.402696934,0.135879958
101,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,70,C16H11N7O,316.0940039,637638.9112,61.84774498,0.31191342,0.61847745,0.656262966,0.192911416
102,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,70,C16H12N8O,333.1205383,579316.1039,66.8897417,0.283383689,0.668897417,0.596236675,0.189554618
103,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,80,C12H10N4,209.0819827,1070109.454,65.19568769,0.512861296,0.651956877,1,0.334363449
104,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,80,C12H11N3,194.0711448,956883.6373,64.75959915,0.458596623,0.647595991,0.894192303,0.296985335
105,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,80,C13H13N5,234.0773185,409025.0818,41.10860412,0.196029605,0.411086041,0.382227332,0.080585034
106,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,80,C14H11N5,246.0772605,202206.8535,51.53196569,0.096909777,0.515319657,0.188959038,0.049939513
107,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,80,C14H12N6,261.0881206,279446.3567,48.22153618,0.133927628,0.482215362,0.261138107,0.064581959
108,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,80,C15H11N5O,274.0721258,190510.7845,49.67246793,0.091304312,0.496724679,0.178029251,0.045353105
109,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,80,C15H13N7,288.0990907,178912.25,55.74007703,0.085745592,0.55740077,0.167190608,0.047794659
110,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,80,C16H11N7O,316.0940451,175307.6155,43.06927868,0.084018032,0.430692787,0.163822135,0.036185961
111,dG-C8-AaC,TUR-UMN-003.mzML,449.1680603,HCD,90,C11H8N2,167.0602545,447668.1996,59.5733004,0.246565276,0.595733004,0.48425649,0.146887073
112,dG-C8-AaC,TUR-UMN-003.mzML,449.1680603,HCD,90,C12H10N4,209.0819746,840183.4864,59.92580295,0.462753605,0.59925803,0.908852373,0.277308814
113,dG-C8-AaC,TUR-UMN-003.mzML,449.1680603,HCD,90,C12H11N3,194.0711309,924444.3993,63.86903119,0.509162565,0.638690312,1,0.325197197
114,dG-C8-AaC,TUR-UMN-003.mzML,449.1680603,HCD,90,C13H13N5,234.0773221,217059.2563,56.77930701,0.119551211,0.56779307,0.234799688,0.067880349
115,dG-C8-AaC,TUR-UMN-003.mzML,449.1680603,HCD,90,C14H11N5,246.2788728,107964.2086,57.79260561,0.059464186,0.577926056,0.116788212,0.034365902
116,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,100,C11H8N2,167.0602409,792111.5774,66.80281475,0.469630929,0.668028148,0.980180407,0.31372668
117,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,100,C12H10N4,209.0819657,493953.3568,59.62262076,0.292857446,0.596226208,0.611231317,0.174609285
118,dG-C8-AaC,TUR-UMN-003.mzML,449.1678772,HCD,100,C12H11N3,194.071124,808128.3523,58.31691535,0.479127032,0.583169153,1,0.279412106
119,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,CID,0,C21H21N9O4,464.1784552,6297352.747,90.10941407,0.391453644,0.901094141,1,0.352736585
120,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,CID,10,C21H21N9O4,464.1784341,6614977.797,85.96260699,0.422225852,0.85962607,1,0.36295635
121,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,CID,20,C21H21N9O4,464.1784743,5955085.377,85.35414138,0.413968147,0.853541414,1,0.353338957
122,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,CID,30,C16H13N9O,348.1313053,5719742.893,90.50860159,0.384501971,0.905086016,1,0.348007357
123,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,CID,40,C16H13N9O,348.1313096,6027645.119,86.97448337,0.403629634,0.869744834,1,0.351054789
124,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,CID,50,C16H13N9O,348.1313204,6420595.297,89.22782363,0.398929731,0.892278236,1,0.355956317
125,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,0,C21H21N9O4,464.1785015,7777338.281,90.09568337,0.395077854,0.900956834,1,0.355948092
126,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,10,C16H13N9O,348.1313816,662529.8281,49.02814655,0.031280905,0.490281465,0.082407761,0.015336448
127,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,10,C21H21N9O4,464.1785158,8039653.283,90.36024813,0.379586886,0.903602481,1,0.342995652
128,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,20,C16H13N9O,348.1313586,4260307.655,88.15178788,0.374798343,0.881517879,0.997615807,0.33039144
129,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,20,C21H21N9O4,464.1785354,4270489.325,90.47969544,0.37569407,0.904796954,1,0.339926851
130,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,30,C16H13N9O,348.1313362,7772580.582,89.66779593,0.380295984,0.896677959,1,0.341003026
131,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,30,C21H21N9O4,464.178617,406355.6737,88.31021543,0.019882127,0.883102154,0.052280664,0.017557949
132,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,40,C15H14N8,303.1101184,343422.3509,31.34811295,0.017610805,0.31348113,0.043784695,0.005520655
133,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,40,C16H13N9O,348.131332,7843433.717,85.91141664,0.402213715,0.859114166,1,0.345547501
134,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,50,C12H11N5,224.0929719,268298.0558,29.14708949,0.017932702,0.291470895,0.048999557,0.005226861
135,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,50,C14H13N7,278.1147055,398458.6641,51.18413089,0.026632472,0.511841309,0.072770926,0.013631599
136,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,50,C15H14N8,303.1099921,1615649.573,81.1312814,0.107987969,0.811312814,0.295067783,0.087612023
137,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,50,C16H12N8O,331.1050393,457480.7419,46.7145024,0.030577433,0.467145024,0.08355019,0.014284096
138,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,50,C16H12N8O2,349.1150935,510785.2175,29.92046892,0.034140236,0.299204689,0.093285242,0.010214919
139,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,50,C16H13N9O,348.131333,5475520.08,87.28141811,0.365976818,0.872814181,1,0.319429757
140,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,60,C12H11N5,224.0929597,950446.7906,57.26640509,0.109011331,0.572664051,0.286649808,0.06242687
141,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,60,C12H12N4,209.0820492,211034.7188,28.6156248,0.024204591,0.286156248,0.063646973,0.006926295
142,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,60,C13H14N6,250.9358687,296076.4505,40.48689082,0.033958437,0.404868908,0.089295117,0.013748715
143,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,60,C14H13N7,278.1146643,710523.0732,51.90422552,0.081493321,0.519042255,0.214290063,0.042298477
144,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,60,C15H14N8,303.1099439,3315707.058,88.78196902,0.380294449,0.88781969,1,0.3376329
145,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,60,C16H12N8O,331.1049434,578545.2667,39.99323113,0.06635615,0.399932311,0.174486243,0.026537968
146,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,60,C16H12N8O2,349.1152626,438860.8125,33.95761028,0.050335065,0.339576103,0.132358138,0.017092585
147,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,60,C16H13N9O,348.1313271,2478898.22,90.06834336,0.284316804,0.900683434,0.747622808,0.256079435
148,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,70,C12H11N5,224.0929295,1833841.089,86.26495429,0.211605196,0.862649543,0.631151416,0.182541125
149,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,70,C12H12N4,209.0820124,693744.5581,50.83863293,0.080050531,0.508386329,0.238765432,0.040696596
150,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,70,C13H14N6,250.2738243,652107.746,47.41615392,0.075246098,0.474161539,0.224435328,0.035678806
151,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,70,C14H13N7,276.0990144,842938.702,61.06000029,0.097265903,0.610600003,0.290113444,0.05939056
152,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,70,C15H14N8,303.1099209,2905548.564,90.55004978,0.335268511,0.905500498,1,0.303585804
153,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,70,C16H12N8O,331.1049958,387004.2161,43.72967502,0.044656052,0.43729675,0.133194888,0.019527946
154,dG-C8-IQ,TUR-UMN-004.mzML,464.178833,HCD,70,C16H13N9O,348.131346,919789.5248,46.79570013,0.106133647,0.467957001,0.316563122,0.049665983
155,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,80,C11H10N4,199.0977235,567919.0042,37.76729446,0.090453891,0.377672945,0.213569346,0.034161987
156,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,80,C12H11N5,224.0929141,2659178.461,89.10205572,0.423534054,0.891020557,1,0.377377548
157,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,80,C12H12N4,209.0819993,1197155.298,70.01731491,0.190673941,0.700173149,0.450197426,0.133504773
158,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,80,C13H14N6,249.0881783,933135.7133,56.48207555,0.148622876,0.564820756,0.350911278,0.083945285
159,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,80,C14H13N7,276.0990103,928321.3011,54.71574216,0.147856073,0.547157422,0.34910079,0.080900547
160,dG-C8-IQ,TUR-UMN-004.mzML,464.178894,HCD,80,C15H14N8,303.1099573,1555521.154,72.63443446,0.247751774,0.726344345,0.584963054,0.1799531
